C++ parallel 2 | Size 15 | 0.054 seconds | 1646.86 | [ 9 8 11 4 10 7 1 3 0 2 13 5 12 6 14 ]
C++ parallel 4 | Size 15 | 0.050 seconds | 1646.86 | [ 9 8 11 4 10 7 1 3 0 2 13 5 12 6 14 ]
C++ parallel 8 | Size 15 | 0.051 seconds | 1646.86 | [ 9 8 11 4 10 7 1 3 0 2 13 5 12 6 14 ]
C++ parallel 16 | Size 15 | 0.065 seconds | 1646.86 | [ 9 8 11 4 10 7 1 3 0 2 13 5 12 6 14 ]
C++ parallel 32 | Size 15 | 0.065 seconds | 1646.86 | [ 9 8 11 4 10 7 1 3 0 2 13 5 12 6 14 ]
C++ parallel 1 | Size 16 | 0.055 seconds | 1705.58 | [ 13 5 12 6 14 9 8 11 4 10 2 1 7 3 0 15 ]
C++ parallel 2 | Size 16 | 0.033 seconds | 1705.58 | [ 13 5 12 6 14 9 8 11 4 10 2 1 7 3 0 15 ]
C++ parallel 4 | Size 16 | 0.030 seconds | 1705.58 | [ 0 3 7 1 2 10 4 11 8 9 14 6 12 5 13 15 ]
C++ parallel 8 | Size 16 | 0.031 seconds | 1705.58 | [ 0 3 7 1 2 10 4 11 8 9 14 6 12 5 13 15 ]
C++ parallel 16 | Size 16 | 0.037 seconds | 1705.58 | [ 0 3 7 1 2 10 4 11 8 9 14 6 12 5 13 15 ]
C++ parallel 32 | Size 16 | 0.039 seconds | 1705.58 | [ 0 3 7 1 2 10 4 11 8 9 14 6 12 5 13 15 ]
C++ parallel 1 | Size 17 | 0.295 seconds | 1818.18 | [ 14 9 8 11 4 10 2 1 7 3 0 15 13 5 12 6 16 ]
C++ parallel 2 | Size 17 | 0.175 seconds | 1818.18 | [ 14 9 8 11 4 10 2 1 7 3 0 15 13 5 12 6 16 ]
C++ parallel 4 | Size 17 | 0.131 seconds | 1818.18 | [ 14 9 8 11 4 10 2 1 7 3 0 15 13 5 12 6 16 ]
C++ parallel 8 | Size 17 | 0.129 seconds | 1818.18 | [ 14 9 8 11 4 10 2 1 7 3 0 15 13 5 12 6 16 ]
C++ parallel 16 | Size 17 | 0.117 seconds | 1818.18 | [ 14 9 8 11 4 10 2 1 7 3 0 15 13 5 12 6 16 ]
C++ parallel 32 | Size 17 | 0.122 seconds | 1818.18 | [ 14 9 8 11 4 10 2 1 7 3 0 15 13 5 12 6 16 ]
C++ parallel 1 | Size 18 | 0.196 seconds | 1828.53 | [ 14 16 6 12 5 13 15 0 3 7 1 2 10 4 11 8 9 17 ]
C++ parallel 2 | Size 18 | 0.109 seconds | 1828.53 | [ 14 16 6 12 5 13 15 0 3 7 1 2 10 4 11 8 9 17 ]
C++ parallel 4 | Size 18 | 0.091 seconds | 1828.53 | [ 14 16 6 12 5 13 15 0 3 7 1 2 10 4 11 8 9 17 ]
C++ parallel 8 | Size 18 | 0.066 seconds | 1828.53 | [ 14 16 6 12 5 13 15 0 3 7 1 2 10 4 11 8 9 17 ]
C++ parallel 16 | Size 18 | 0.053 seconds | 1828.53 | [ 14 16 6 12 5 13 15 0 3 7 1 2 10 4 11 8 9 17 ]
C++ parallel 32 | Size 18 | 0.046 seconds | 1828.53 | [ 14 16 6 12 5 13 15 0 3 7 1 2 10 4 11 8 9 17 ]
C++ parallel 1 | Size 19 | 0.129 seconds | 1829.87 | [ 3 7 1 2 10 4 11 8 9 17 14 16 6 12 5 13 15 0 18 ]
C++ parallel 2 | Size 19 | 0.091 seconds | 1829.87 | [ 3 7 1 2 10 4 11 8 9 17 14 16 6 12 5 13 15 0 18 ]
C++ parallel 4 | Size 19 | 0.084 seconds | 1829.87 | [ 3 7 1 2 10 4 11 8 9 17 14 16 6 12 5 13 15 0 18 ]
C++ parallel 8 | Size 19 | 0.070 seconds | 1829.87 | [ 3 7 1 2 10 4 11 8 9 17 14 16 6 12 5 13 15 0 18 ]
C++ parallel 16 | Size 19 | 0.077 seconds | 1829.87 | [ 3 7 1 2 10 4 11 8 9 17 14 16 6 12 5 13 15 0 18 ]
C++ parallel 32 | Size 19 | 0.077 seconds | 1829.87 | [ 3 7 1 2 10 4 11 8 9 17 14 16 6 12 5 13 15 0 18 ]
C++ parallel 1 | Size 20 | 0.335 seconds | 1861.09 | [ 6 12 5 13 15 0 18 3 7 1 2 10 4 11 8 9 17 14 16 19 ]
C++ parallel 2 | Size 20 | 0.226 seconds | 1861.09 | [ 6 12 5 13 15 0 18 3 7 1 2 10 4 11 8 9 17 14 16 19 ]
C++ parallel 4 | Size 20 | 0.161 seconds | 1861.09 | [ 6 12 5 13 15 0 18 3 7 1 2 10 4 11 8 9 17 14 16 19 ]
C++ parallel 8 | Size 20 | 0.170 seconds | 1861.09 | [ 6 12 5 13 15 0 18 3 7 1 2 10 4 11 8 9 17 14 16 19 ]
C++ parallel 16 | Size 20 | 0.163 seconds | 1861.09 | [ 6 12 5 13 15 0 18 3 7 1 2 10 4 11 8 9 17 14 16 19 ]
C++ parallel 32 | Size 20 | 0.160 seconds | 1861.09 | [ 6 12 5 13 15 0 18 3 7 1 2 10 4 11 8 9 17 14 16 19 ]
C++ parallel 1 | Size 21 | 0.323 seconds | 1865.81 | [ 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 18 3 7 1 2 20 ]
C++ parallel 2 | Size 21 | 0.171 seconds | 1865.81 | [ 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 18 3 7 1 2 20 ]
C++ parallel 4 | Size 21 | 0.113 seconds | 1865.81 | [ 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 18 3 7 1 2 20 ]
C++ parallel 8 | Size 21 | 0.092 seconds | 1865.81 | [ 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 18 3 7 1 2 20 ]
C++ parallel 16 | Size 21 | 0.111 seconds | 1865.81 | [ 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 18 3 7 1 2 20 ]
C++ parallel 32 | Size 21 | 0.113 seconds | 1865.81 | [ 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 18 3 7 1 2 20 ]
C++ parallel 1 | Size 22 | 0.616 seconds | 1891.83 | [ 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 21 ]
C++ parallel 2 | Size 22 | 0.423 seconds | 1891.83 | [ 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 21 ]
C++ parallel 4 | Size 22 | 0.288 seconds | 1891.83 | [ 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 21 ]
C++ parallel 8 | Size 22 | 0.278 seconds | 1891.83 | [ 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 21 ]
C++ parallel 16 | Size 22 | 0.268 seconds | 1891.83 | [ 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 21 ]
C++ parallel 32 | Size 22 | 0.299 seconds | 1891.83 | [ 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 21 ]
C++ parallel 1 | Size 23 | 2.048 seconds | 1897.69 | [ 5 13 15 0 21 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 22 ]
C++ parallel 2 | Size 23 | 1.408 seconds | 1897.69 | [ 5 13 15 0 21 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 22 ]
C++ parallel 4 | Size 23 | 1.166 seconds | 1897.69 | [ 5 13 15 0 21 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 22 ]
C++ parallel 8 | Size 23 | 0.895 seconds | 1897.69 | [ 5 13 15 0 21 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 22 ]
C++ parallel 16 | Size 23 | 0.810 seconds | 1897.69 | [ 5 13 15 0 21 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 22 ]
C++ parallel 32 | Size 23 | 0.854 seconds | 1897.69 | [ 5 13 15 0 21 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 22 ]
C++ parallel 1 | Size 24 | 3.466 seconds | 1946.16 | [ 8 11 4 10 20 2 1 7 3 18 21 0 15 13 5 22 12 6 19 16 14 17 9 23 ]
C++ parallel 2 | Size 24 | 1.846 seconds | 1946.16 | [ 8 11 4 10 20 2 1 7 3 18 21 0 15 13 5 22 12 6 19 16 14 17 9 23 ]
C++ parallel 4 | Size 24 | 1.131 seconds | 1946.16 | [ 8 11 4 10 20 2 1 7 3 18 21 0 15 13 5 22 12 6 19 16 14 17 9 23 ]
C++ parallel 8 | Size 24 | 0.723 seconds | 1946.16 | [ 8 11 4 10 20 2 1 7 3 18 21 0 15 13 5 22 12 6 19 16 14 17 9 23 ]
C++ parallel 16 | Size 24 | 0.861 seconds | 1946.16 | [ 8 11 4 10 20 2 1 7 3 18 21 0 15 13 5 22 12 6 19 16 14 17 9 23 ]
C++ parallel 32 | Size 24 | 0.816 seconds | 1946.16 | [ 8 11 4 10 20 2 1 7 3 18 21 0 15 13 5 22 12 6 19 16 14 17 9 23 ]
C++ parallel 1 | Size 25 | 6.166 seconds | 1964.82 | [ 1 7 3 18 21 0 15 13 5 22 12 6 19 16 14 17 9 23 8 11 4 10 20 2 24 ]
C++ parallel 2 | Size 25 | 3.691 seconds | 1964.82 | [ 1 7 3 18 21 0 15 13 5 22 12 6 19 16 14 17 9 23 8 11 4 10 20 2 24 ]
C++ parallel 4 | Size 25 | 1.860 seconds | 1964.82 | [ 1 7 3 18 21 0 15 13 5 22 12 6 19 16 14 17 9 23 8 11 4 10 20 2 24 ]
C++ parallel 8 | Size 25 | 1.732 seconds | 1964.82 | [ 1 7 3 18 21 0 15 13 5 22 12 6 19 16 14 17 9 23 8 11 4 10 20 2 24 ]
C++ parallel 16 | Size 25 | 1.914 seconds | 1964.82 | [ 1 7 3 18 21 0 15 13 5 22 12 6 19 16 14 17 9 23 8 11 4 10 20 2 24 ]
